timestamp,time_offset_seconds,rr_interval_ms,pr_interval_ms,p_wave_amplitude_mv,t_wave_amplitude_mv,morphology_score,heart_rate_bpm,is_artifact
2026-04-24T10:00:00.759,0.76,840.6882,143.8664,0.1378,0.3689,0.9501,71.37,0
2026-04-24T10:00:02.413,2.414,903.0149,157.3568,0.198,0.4259,0.8782,66.44,0
2026-04-24T10:00:03.316,3.317,841.21,174.5411,0.1854,0.4092,0.8755,71.33,0
2026-04-24T10:00:04.157,4.158,818.6526,171.5605,0.114,0.2012,0.9751,73.29,0
2026-04-24T10:00:04.976,4.977,847.0145,196.8737,0.1168,0.3753,0.9436,70.84,0
2026-04-24T10:00:06.622,6.622,839.6674,162.3585,0.1025,0.3292,0.9426,71.46,0
2026-04-24T10:00:07.461,7.462,721.8558,168.1917,0.1105,0.2162,0.9168,83.12,0
2026-04-24T10:00:08.183,8.184,786.2429,157.4702,0.143,0.1886,0.9802,76.31,0
2026-04-24T10:00:08.969,8.97,780.2714,174.0607,0.1169,0.2261,0.9437,76.9,0
2026-04-24T10:00:09.750,9.75,817.6017,144.7036,0.1586,0.3249,0.9905,73.39,0
2026-04-24T10:00:10.567,10.568,835.7198,170.2606,0.1491,0.1513,0.8965,71.79,0
2026-04-24T10:00:11.403,11.403,827.7058,165.0256,0.1299,0.4523,0.9296,72.49,0
2026-04-24T10:00:15.502,15.502,678.9625,196.2597,0.0341,0.139,0.2481,88.37,1
2026-04-24T10:00:16.181,16.181,841.7904,146.3857,0.1618,0.3048,0.9298,71.28,0
2026-04-24T10:00:18.654,18.654,803.0958,177.1122,0.1314,0.4034,0.9246,74.71,0
2026-04-24T10:00:19.457,19.457,380.649,178.5583,0.327,0.6784,0.7361,157.63,1
2026-04-24T10:00:19.838,19.838,754.726,143.864,0.1132,0.2539,0.9321,79.5,0
2026-04-24T10:00:20.592,20.593,820.8736,194.495,0.1509,0.3294,0.9877,73.09,0
2026-04-24T10:00:22.211,22.212,825.5611,167.0474,0.1177,0.2204,1.0,72.68,0
2026-04-24T10:00:23.037,23.038,821.5411,156.6032,0.1689,0.4372,0.9575,73.03,0
2026-04-24T10:00:24.607,24.607,814.468,175.2927,0.1669,0.2409,0.8914,73.67,0
2026-04-24T10:00:25.421,25.421,813.1018,158.2783,0.1522,0.288,0.9228,73.79,0
2026-04-24T10:00:26.970,26.971,812.1876,164.5837,0.1984,0.2871,0.9421,73.87,0
2026-04-24T10:00:27.782,27.783,793.4431,144.4513,0.1767,0.3605,0.8399,75.62,0
2026-04-24T10:00:28.576,28.576,780.81,159.3949,0.1099,0.2895,0.9446,76.84,0
2026-04-24T10:00:29.357,29.357,808.4853,178.5724,0.1668,0.2851,0.9383,74.21,0
2026-04-24T10:00:30.165,30.166,770.6707,147.5307,0.1218,0.2673,0.9514,77.85,0
2026-04-24T10:00:30.936,30.936,787.7361,165.4968,0.1527,0.2671,0.9202,76.17,0
2026-04-24T10:00:31.724,31.724,841.7556,159.1735,0.147,0.2904,0.9696,71.28,0
2026-04-24T10:00:32.565,32.566,323.8643,108.5538,0.03,0.4226,0.7642,185.26,1
2026-04-24T10:00:32.889,32.89,817.0778,141.6294,0.1277,0.2142,0.8968,73.43,0
2026-04-24T10:00:33.706,33.707,899.8648,150.7887,0.1615,0.3341,0.9945,66.68,0
2026-04-24T10:00:35.443,35.443,706.9077,151.7196,0.1199,0.3014,0.9021,84.88,0
2026-04-24T10:00:36.150,36.15,821.7442,160.2006,0.1883,0.2481,0.8951,73.02,0
2026-04-24T10:00:36.971,36.972,714.8004,131.3536,0.1404,0.2485,0.9179,83.94,0
2026-04-24T10:00:37.686,37.687,736.2157,173.079,0.1646,0.2822,0.947,81.5,0
2026-04-24T10:00:38.422,38.423,789.1158,167.4015,0.1382,0.28,0.9405,76.03,0
2026-04-24T10:00:39.211,39.212,849.074,131.7164,0.1504,0.3069,0.9384,70.67,0
2026-04-24T10:00:40.060,40.061,891.8457,167.4688,0.2322,0.2492,0.9674,67.28,0
2026-04-24T10:00:40.952,40.953,783.7227,177.2407,0.1626,0.3738,0.927,76.56,0
2026-04-24T10:00:41.736,41.737,801.5316,169.882,0.1342,0.259,0.9159,74.86,0
2026-04-24T10:00:42.538,42.538,746.1877,158.2997,0.1682,0.2132,0.9053,80.41,0
2026-04-24T10:00:44.158,44.158,852.2436,163.0128,0.1487,0.2644,0.9513,70.4,0
2026-04-24T10:00:45.010,45.01,776.7116,175.0521,0.1278,0.2215,0.9567,77.25,0
2026-04-24T10:00:45.787,45.787,759.9894,157.0657,0.1245,0.3097,0.9737,78.95,0
2026-04-24T10:00:46.547,46.547,819.1697,145.8407,0.1902,0.334,0.9117,73.24,0
2026-04-24T10:00:47.366,47.366,686.9793,154.3421,0.1417,0.2918,0.9638,87.34,0
2026-04-24T10:00:48.053,48.053,819.3852,171.4322,0.1387,0.4231,0.9056,73.23,0
2026-04-24T10:00:48.872,48.873,802.3279,158.27,0.0907,0.3729,0.9426,74.78,0
2026-04-24T10:00:49.674,49.675,786.165,155.0134,0.1322,0.2539,0.9441,76.32,0
2026-04-24T10:00:50.461,50.461,829.1786,195.3298,0.0239,0.203,0.8033,72.36,1
2026-04-24T10:00:52.625,52.626,816.552,159.1534,0.195,0.2097,0.8979,73.48,0
2026-04-24T10:00:54.287,54.287,811.8868,167.6473,0.17,0.3007,0.9789,73.9,0
2026-04-24T10:00:55.098,55.099,731.3498,176.0989,0.128,0.2382,0.9131,82.04,0
2026-04-24T10:00:55.830,55.83,780.2378,174.4919,0.1281,0.2224,0.8929,76.9,0
2026-04-24T10:00:56.610,56.61,737.4176,144.9644,0.109,0.2689,0.8764,81.37,0
2026-04-24T10:00:57.347,57.348,893.1159,175.8783,0.1823,0.4153,0.9248,67.18,0
2026-04-24T10:00:58.241,58.241,731.1342,147.6716,0.1544,0.2987,0.9239,82.06,0
2026-04-24T10:01:00.719,60.72,858.7753,145.3234,0.1618,0.346,0.927,69.87,0
2026-04-24T10:01:01.578,61.579,789.8543,181.1524,0.1683,0.304,0.9279,75.96,0
2026-04-24T10:01:02.368,62.369,810.1153,148.9244,0.1315,0.2937,0.968,74.06,0
2026-04-24T10:01:04.703,64.703,821.2483,145.742,0.142,0.3007,0.9679,73.06,0
2026-04-24T10:01:05.524,65.524,816.4972,179.5677,0.1434,0.2773,0.9292,73.48,0
2026-04-24T10:01:06.340,66.341,768.5814,120.0,0.1237,0.2975,0.9156,78.07,0
2026-04-24T10:01:07.109,67.109,721.3736,145.6703,0.1231,0.1989,0.9516,83.17,0
2026-04-24T10:01:07.830,67.831,790.462,131.2478,0.1872,0.2273,0.9264,75.9,0
2026-04-24T10:01:09.393,69.393,800.317,151.8019,0.1381,0.3769,0.9179,74.97,0
2026-04-24T10:01:10.193,70.193,712.7707,165.8059,0.1922,0.4137,0.9262,84.18,0
2026-04-24T10:01:10.906,70.906,858.4769,174.6789,0.1816,0.3436,0.8572,69.89,0
2026-04-24T10:01:11.764,71.765,763.5695,150.6781,0.1306,0.2797,0.9317,78.58,0
2026-04-24T10:01:12.528,72.528,801.8762,158.3175,0.1668,0.2677,0.9093,74.82,0
2026-04-24T10:01:13.330,73.33,845.7951,141.0319,0.158,0.3553,0.9543,70.94,0
2026-04-24T10:01:14.957,74.957,1170.6223,215.3826,0.3307,0.3974,0.4945,51.25,1
2026-04-24T10:01:16.127,76.128,996.5868,80.0,0.0385,0.1081,0.5019,60.21,1
2026-04-24T10:01:17.124,77.125,791.2914,153.9526,0.137,0.2759,0.9674,75.83,0
2026-04-24T10:01:17.915,77.916,804.3253,165.3569,0.1257,0.2198,0.9248,74.6,0
2026-04-24T10:01:18.720,78.72,866.2573,174.0913,0.1813,0.256,0.9303,69.26,0
2026-04-24T10:01:19.586,79.586,1294.8228,228.3104,0.3966,0.2095,0.7124,46.34,1
2026-04-24T10:01:20.881,80.881,871.8151,161.724,0.1743,0.2963,0.9463,68.82,0
2026-04-24T10:01:21.753,81.753,865.7404,152.2555,0.1412,0.2994,0.9132,69.3,0
2026-04-24T10:01:23.438,83.438,724.2623,175.9631,0.1447,0.3311,0.898,82.84,0
2026-04-24T10:01:24.162,84.163,773.528,164.4189,0.1449,0.3351,0.9652,77.57,0
2026-04-24T10:01:25.734,85.735,777.9674,132.0821,0.1987,0.2942,0.9305,77.12,0
2026-04-24T10:01:26.512,86.513,821.7383,152.6071,0.1155,0.183,0.9741,73.02,0
2026-04-24T10:01:27.334,87.334,811.7638,183.6352,0.159,0.3423,0.902,73.91,0
2026-04-24T10:01:28.146,88.146,787.3311,172.176,0.1926,0.3735,0.8559,76.21,0
2026-04-24T10:01:28.933,88.934,867.961,169.599,0.1323,0.1892,0.9438,69.13,0
2026-04-24T10:01:29.801,89.802,801.4011,175.0275,0.1765,0.263,0.9305,74.87,0
2026-04-24T10:01:30.602,90.603,848.6947,176.441,0.1316,0.3101,0.9,70.7,0
2026-04-24T10:01:31.451,91.452,850.7758,151.7949,0.142,0.2656,0.8971,70.52,0
2026-04-24T10:01:32.302,92.302,822.1273,182.3519,0.2086,0.3593,0.9241,72.98,0
2026-04-24T10:01:33.124,93.125,719.887,132.0627,0.1393,0.229,0.95,83.35,0
2026-04-24T10:01:33.844,93.844,825.983,151.9435,0.1581,0.3455,0.9394,72.64,0
2026-04-24T10:01:34.670,94.67,830.8407,157.5435,0.1631,0.3076,0.9269,72.22,0
2026-04-24T10:01:35.501,95.501,771.4528,147.2988,0.148,0.367,0.934,77.78,0
2026-04-24T10:01:36.272,96.273,867.9061,141.2856,0.143,0.3424,0.9799,69.13,0
2026-04-24T10:01:37.140,97.141,659.3072,188.9283,0.0419,0.0486,0.2654,91.0,1
